n_features,fold,hp_max_depth,hp_max_features,hp_min_samples_leaf,hp_n_estimators
10,13,,sqrt,3,300
10,14,,sqrt,1,300
11,0,5.0,sqrt,1,300
11,1,,sqrt,3,300
11,2,,sqrt,3,300
11,3,,sqrt,1,300
11,4,,sqrt,3,300
11,5,,sqrt,3,300
11,6,,sqrt,1,300
11,7,5.0,sqrt,1,300
11,8,,sqrt,1,300
11,9,,sqrt,1,300
11,10,5.0,sqrt,1,300
11,11,5.0,sqrt,1,300
11,12,,sqrt,1,300
11,13,,sqrt,3,300
11,14,,sqrt,1,300
12,0,,sqrt,3,300
12,1,5.0,sqrt,1,300
12,2,,sqrt,1,300
12,3,,sqrt,1,300
12,4,5.0,sqrt,3,300
12,5,,sqrt,3,300
12,6,5.0,sqrt,1,300
12,7,,sqrt,3,300
12,8,,sqrt,1,300
12,9,,sqrt,1,300
12,10,,sqrt,3,300
12,11,,sqrt,3,300
12,12,,sqrt,3,300
12,13,,sqrt,1,300
12,14,5.0,sqrt,1,300
13,0,,sqrt,3,300
13,1,,sqrt,1,300
13,2,,sqrt,1,300
13,3,,sqrt,3,300
13,4,,sqrt,3,300
13,5,,sqrt,1,300
13,6,,sqrt,1,300
13,7,,sqrt,3,300
13,8,,sqrt,3,300
13,9,5.0,sqrt,1,300
13,10,,sqrt,3,300
13,11,5.0,sqrt,1,300
13,12,,sqrt,3,300
13,13,,sqrt,1,300
13,14,5.0,sqrt,1,300
14,0,,0.3,1,300
14,1,5.0,0.3,1,300
14,2,5.0,0.3,1,300
14,3,,sqrt,1,300
14,4,,sqrt,1,300
14,5,,sqrt,1,300
14,6,5.0,sqrt,1,300
14,7,5.0,0.3,1,300
14,8,5.0,sqrt,1,300
14,9,,0.3,1,300
14,10,,sqrt,3,300
14,11,,0.3,3,300
14,12,,sqrt,3,300
14,13,5.0,0.3,1,300
14,14,,sqrt,1,300
15,0,,sqrt,1,300
15,1,,sqrt,1,300
15,2,,sqrt,1,300
15,3,,sqrt,1,300
15,4,,sqrt,3,300
15,5,5.0,0.3,1,300
15,6,,0.3,1,300
15,7,,sqrt,3,300
15,8,,sqrt,3,300
15,9,,0.3,1,300
15,10,,sqrt,3,300
15,11,5.0,sqrt,3,300
15,12,,sqrt,1,300
15,13,,sqrt,1,300
15,14,,sqrt,3,300
16,0,,sqrt,3,300
16,1,,sqrt,3,300
16,2,,sqrt,1,300
16,3,,sqrt,3,300
16,4,,sqrt,1,300
16,5,,sqrt,1,300
16,6,5.0,sqrt,1,300
16,7,5.0,sqrt,3,300
16,8,5.0,sqrt,1,300
16,9,,sqrt,1,300
16,10,,sqrt,3,300
16,11,,sqrt,3,300
16,12,,sqrt,3,300
16,13,,sqrt,3,300
16,14,,sqrt,1,300
17,0,5.0,sqrt,3,300
17,1,,0.3,1,300
17,2,,sqrt,1,300
17,3,5.0,sqrt,1,300
17,4,,sqrt,1,300
17,5,,sqrt,1,300
17,6,,0.3,1,300
17,7,,sqrt,1,300
17,8,,0.3,1,300
17,9,5.0,0.3,1,300
17,10,,sqrt,3,300
17,11,,sqrt,3,300
17,12,,sqrt,1,300
17,13,,0.3,1,300
17,14,5.0,sqrt,1,300
18,0,,0.3,1,300
18,1,,0.3,3,300
18,2,,sqrt,3,300
18,3,,sqrt,1,300
18,4,5.0,sqrt,1,300
18,5,5.0,sqrt,1,300
18,6,5.0,sqrt,1,300
18,7,5.0,sqrt,3,300
18,8,,sqrt,3,300
18,9,,0.3,3,300
18,10,,sqrt,1,300
18,11,,sqrt,3,300
18,12,,sqrt,3,300
18,13,,0.3,3,300
18,14,,sqrt,1,300
19,0,,sqrt,3,300
19,1,5.0,0.3,1,300
19,2,,sqrt,3,300
19,3,,sqrt,3,300
19,4,,sqrt,1,300
19,5,,sqrt,1,300
19,6,,sqrt,1,300
19,7,,sqrt,3,300
19,8,5.0,sqrt,1,300
19,9,5.0,sqrt,1,300
19,10,,sqrt,1,300
19,11,,0.3,1,300
19,12,5.0,sqrt,1,300
19,13,,sqrt,3,300
19,14,,sqrt,1,300
20,0,,sqrt,3,300
20,1,,sqrt,1,300
20,2,,sqrt,1,300
20,3,5.0,sqrt,1,300
20,4,5.0,sqrt,1,300
20,5,,sqrt,3,300
20,6,,sqrt,3,300
20,7,5.0,sqrt,3,300
20,8,,0.3,1,300
20,9,5.0,sqrt,3,300
20,10,5.0,sqrt,1,300
20,11,,sqrt,3,300
20,12,,sqrt,1,300
20,13,,sqrt,3,300
20,14,,0.3,1,300
21,0,,sqrt,1,300
21,1,5.0,sqrt,1,300
21,2,,0.3,3,300
21,3,,sqrt,3,300
21,4,,sqrt,3,300
21,5,5.0,sqrt,1,300
21,6,5.0,sqrt,1,300
21,7,5.0,sqrt,1,300
21,8,,sqrt,1,300
21,9,5.0,0.3,1,300
21,10,5.0,sqrt,3,300
21,11,5.0,sqrt,1,300
21,12,,sqrt,3,300
21,13,,sqrt,3,300
21,14,,sqrt,1,300
22,0,5.0,0.3,3,300
22,1,5.0,sqrt,1,300
22,2,5.0,0.3,1,300
22,3,,sqrt,3,300
22,4,5.0,sqrt,1,300
22,5,5.0,sqrt,1,300
22,6,5.0,sqrt,1,300
22,7,5.0,0.3,3,300
22,8,,sqrt,3,300
22,9,,0.3,3,300
22,10,,sqrt,1,300
22,11,,sqrt,3,300
22,12,5.0,sqrt,1,300
22,13,,sqrt,3,300
22,14,5.0,sqrt,1,300
23,0,,0.3,3,300
23,1,,sqrt,1,300
23,2,5.0,sqrt,1,300
23,3,5.0,sqrt,1,300
23,4,5.0,0.3,1,300
23,5,,0.3,1,300
23,6,,sqrt,3,300
23,7,,sqrt,1,300
23,8,,0.3,3,300
23,9,,0.3,3,300
23,10,,0.3,3,300
23,11,,0.3,3,300
23,12,,0.3,1,300
23,13,,sqrt,3,300
23,14,,sqrt,1,300
24,0,,sqrt,3,300
24,1,,sqrt,1,300
24,2,,sqrt,1,300
24,3,,sqrt,1,300
24,4,,sqrt,3,300
24,5,,0.3,1,300
24,6,,sqrt,1,300
24,7,,sqrt,3,300
24,8,,0.3,3,300
24,9,,sqrt,1,300
24,10,,sqrt,3,300
24,11,,sqrt,3,300
24,12,,sqrt,3,300
24,13,,sqrt,3,300
24,14,,0.3,1,300
25,0,,sqrt,3,300
25,1,5.0,0.3,1,300
25,2,5.0,0.3,1,300
25,3,,0.3,3,300
25,4,,sqrt,3,300
25,5,,sqrt,1,300
25,6,5.0,sqrt,1,300
25,7,5.0,0.3,1,300
25,8,,0.3,1,300
25,9,5.0,sqrt,1,300
25,10,5.0,sqrt,1,300
25,11,,0.3,3,300
25,12,,sqrt,1,300
25,13,,sqrt,3,300
25,14,,0.3,3,300
26,0,5.0,0.3,1,300
26,1,,sqrt,1,300
26,2,5.0,sqrt,1,300
26,3,,sqrt,3,300
26,4,,sqrt,1,300
26,5,,0.3,1,300
26,6,,0.3,1,300
26,7,,sqrt,3,300
26,8,,sqrt,3,300
26,9,,0.3,1,300
26,10,,sqrt,3,300
26,11,,sqrt,3,300
26,12,5.0,0.3,1,300
26,13,,sqrt,3,300
26,14,,0.3,3,300
27,0,,sqrt,1,300
27,1,,sqrt,1,300
27,2,5.0,0.3,1,300
27,3,,sqrt,3,300
27,4,5.0,sqrt,1,300
27,5,,sqrt,1,300
27,6,,0.3,1,300
27,7,,sqrt,3,300
27,8,5.0,0.3,1,300
27,9,,sqrt,1,300
27,10,,sqrt,1,300
27,11,,sqrt,3,300
27,12,,sqrt,1,300
27,13,,sqrt,3,300
27,14,5.0,sqrt,1,300
28,0,5.0,0.3,1,300
28,1,,sqrt,1,300
28,2,,0.3,1,300
28,3,,sqrt,3,300
28,4,,0.3,3,300
28,5,5.0,sqrt,1,300
28,6,,sqrt,1,300
28,7,,0.3,3,300
28,8,5.0,sqrt,3,300
28,9,5.0,sqrt,1,300
28,10,5.0,sqrt,3,300
28,11,,sqrt,3,300
28,12,,sqrt,1,300
28,13,,sqrt,3,300
28,14,5.0,sqrt,1,300
29,0,5.0,0.3,1,300
29,1,5.0,sqrt,1,300
29,2,,0.3,1,300
29,3,,sqrt,1,300
29,4,,0.3,3,300
29,5,5.0,sqrt,3,300
29,6,,sqrt,3,300
29,7,5.0,0.3,1,300
29,8,,sqrt,3,300
29,9,,0.3,3,300
29,10,,sqrt,1,300
29,11,,sqrt,3,300
29,12,,0.3,1,300
29,13,,sqrt,3,300
29,14,5.0,0.3,1,300
30,0,,sqrt,3,300
30,1,,0.3,1,300
30,2,,sqrt,1,300
30,3,,0.3,1,300
30,4,5.0,sqrt,1,300
30,5,,sqrt,3,300
30,6,5.0,sqrt,1,300
30,7,5.0,sqrt,3,300
30,8,,sqrt,3,300
30,9,,sqrt,1,300
30,10,5.0,sqrt,1,300
30,11,,sqrt,3,300
30,12,,sqrt,1,300
30,13,,sqrt,3,300
30,14,,sqrt,1,300
31,0,5.0,0.3,1,300
31,1,,sqrt,1,300
31,2,,sqrt,1,300
31,3,,sqrt,3,300
31,4,,sqrt,3,300
31,5,5.0,sqrt,1,300
31,6,5.0,sqrt,1,300
31,7,,0.3,1,300
31,8,,0.3,1,300
31,9,,sqrt,3,300
31,10,5.0,sqrt,3,300
31,11,,sqrt,1,300
31,12,,sqrt,1,300
31,13,,sqrt,3,300
31,14,,0.3,1,300
32,0,,sqrt,3,300
32,1,5.0,sqrt,1,300
32,2,5.0,sqrt,1,300
32,3,,sqrt,1,300
32,4,5.0,sqrt,1,300
32,5,5.0,sqrt,1,300
32,6,5.0,sqrt,1,300
32,7,5.0,sqrt,1,300
32,8,,sqrt,1,300
32,9,,sqrt,1,300
32,10,,sqrt,1,300
32,11,5.0,sqrt,1,300
32,12,,sqrt,1,300
32,13,,sqrt,3,300
32,14,,sqrt,1,300
33,0,,0.3,3,300
33,1,,0.3,1,300
33,2,5.0,sqrt,1,300
33,3,,0.3,3,300
33,4,,sqrt,1,300
33,5,5.0,sqrt,1,300
33,6,,0.3,3,300
33,7,5.0,sqrt,1,300
33,8,,sqrt,1,300
33,9,,sqrt,1,300
33,10,5.0,sqrt,1,300
33,11,5.0,sqrt,1,300
33,12,5.0,sqrt,1,300
33,13,,sqrt,3,300
33,14,,sqrt,1,300
34,0,,sqrt,3,300
34,1,5.0,sqrt,1,300
34,2,,sqrt,3,300
34,3,5.0,sqrt,1,300
34,4,5.0,sqrt,1,300
34,5,,sqrt,1,300
34,6,5.0,sqrt,3,300
34,7,,sqrt,3,300
34,8,5.0,sqrt,3,300
34,9,5.0,0.3,1,300
34,10,,sqrt,3,300
34,11,,sqrt,3,300
34,12,,sqrt,1,300
34,13,5.0,sqrt,3,300
34,14,5.0,0.3,1,300
35,0,,0.3,1,300
35,1,,sqrt,1,300
35,2,,sqrt,1,300
35,3,,sqrt,3,300
35,4,5.0,sqrt,1,300
35,5,5.0,sqrt,1,300
35,6,,sqrt,1,300
35,7,,0.3,1,300
35,8,,sqrt,1,300
35,9,,0.3,3,300
35,10,5.0,sqrt,3,300
35,11,,sqrt,1,300
35,12,5.0,0.3,1,300
35,13,5.0,sqrt,3,300
35,14,,sqrt,1,300
36,0,,sqrt,3,300
36,1,,sqrt,1,300
36,2,,sqrt,1,300
36,3,,sqrt,3,300
36,4,,sqrt,3,300
36,5,,sqrt,1,300
36,6,,sqrt,1,300
36,7,,sqrt,1,300
36,8,,sqrt,1,300
36,9,,0.3,3,300
36,10,,sqrt,3,300
36,11,,sqrt,3,300
36,12,5.0,sqrt,1,300
36,13,,sqrt,3,300
36,14,,0.3,1,300
37,0,,sqrt,3,300
37,1,,sqrt,1,300
37,2,,sqrt,1,300
37,3,5.0,sqrt,1,300
37,4,,sqrt,1,300
37,5,,0.3,1,300
37,6,,sqrt,1,300
37,7,,0.3,1,300
37,8,5.0,sqrt,3,300
37,9,5.0,sqrt,1,300
37,10,,sqrt,3,300
37,11,,sqrt,1,300
37,12,,sqrt,1,300
37,13,,sqrt,3,300
37,14,,sqrt,1,300
38,0,,sqrt,3,300
38,1,5.0,sqrt,1,300
38,2,,sqrt,1,300
38,3,,sqrt,3,300
38,4,,sqrt,1,300
38,5,,sqrt,3,300
38,6,,sqrt,1,300
38,7,5.0,sqrt,1,300
38,8,,sqrt,1,300
38,9,,sqrt,3,300
38,10,,sqrt,1,300
38,11,,sqrt,3,300
38,12,5.0,sqrt,3,300
38,13,,sqrt,3,300
38,14,,0.3,1,300
39,0,5.0,sqrt,1,300
39,1,,sqrt,1,300
39,2,5.0,sqrt,1,300
39,3,5.0,sqrt,1,300
39,4,,sqrt,3,300
39,5,,sqrt,3,300
39,6,,sqrt,1,300
39,7,5.0,sqrt,3,300
39,8,5.0,sqrt,1,300
39,9,5.0,0.3,1,300
39,10,5.0,sqrt,1,300
39,11,5.0,sqrt,3,300
39,12,,sqrt,1,300
39,13,,sqrt,3,300
39,14,,sqrt,1,300
40,0,5.0,0.3,1,300
40,1,5.0,sqrt,1,300
40,2,5.0,sqrt,1,300
40,3,,sqrt,3,300
40,4,,sqrt,1,300
40,5,5.0,sqrt,1,300
40,6,,sqrt,1,300
40,7,5.0,0.3,1,300
40,8,5.0,sqrt,1,300
40,9,,sqrt,1,300
40,10,5.0,sqrt,1,300
40,11,5.0,sqrt,1,300
40,12,,0.3,1,300
40,13,,sqrt,3,300
40,14,,sqrt,1,300
41,0,,sqrt,1,300
41,1,,sqrt,1,300
41,2,,sqrt,1,300
41,3,,sqrt,1,300
41,4,,sqrt,1,300
41,5,,sqrt,3,300
41,6,5.0,sqrt,1,300
41,7,,sqrt,1,300
41,8,5.0,sqrt,1,300
41,9,,sqrt,1,300
41,10,,sqrt,3,300
41,11,,sqrt,3,300
41,12,,sqrt,1,300
41,13,,sqrt,1,300
41,14,,sqrt,1,300
42,0,,sqrt,1,300
42,1,,sqrt,1,300
42,2,,0.3,1,300
42,3,,sqrt,1,300
42,4,,sqrt,1,300
42,5,5.0,sqrt,3,300
42,6,,sqrt,1,300
42,7,,sqrt,3,300
42,8,,sqrt,3,300
42,9,5.0,sqrt,1,300
42,10,5.0,sqrt,1,300
42,11,,sqrt,3,300
42,12,,sqrt,1,300
42,13,,sqrt,3,300
42,14,5.0,sqrt,1,300
43,0,,sqrt,3,300
43,1,5.0,sqrt,1,300
43,2,5.0,sqrt,1,300
43,3,,sqrt,1,300
43,4,,sqrt,1,300
43,5,,sqrt,1,300
43,6,5.0,sqrt,1,300
43,7,,sqrt,1,300
43,8,5.0,sqrt,3,300
43,9,5.0,sqrt,1,300
43,10,5.0,sqrt,1,300
43,11,,sqrt,3,300
43,12,5.0,sqrt,1,300
43,13,,sqrt,3,300
43,14,5.0,sqrt,1,300
44,0,,sqrt,3,300
44,1,,sqrt,1,300
44,2,,sqrt,3,300
44,3,,sqrt,3,300
44,4,,sqrt,3,300
44,5,,sqrt,1,300
44,6,,sqrt,1,300
44,7,5.0,sqrt,1,300
44,8,5.0,sqrt,1,300
44,9,,sqrt,1,300
44,10,5.0,sqrt,1,300
44,11,,sqrt,1,300
44,12,5.0,sqrt,1,300
44,13,5.0,sqrt,1,300
44,14,,sqrt,1,300
45,0,,sqrt,1,300
45,1,,sqrt,1,300
45,2,5.0,sqrt,1,300
45,3,,sqrt,1,300
45,4,,sqrt,1,300
45,5,,sqrt,3,300
45,6,5.0,sqrt,1,300
45,7,5.0,sqrt,1,300
45,8,,sqrt,3,300
45,9,5.0,0.3,1,300
45,10,,sqrt,3,300
45,11,,sqrt,1,300
45,12,5.0,sqrt,1,300
45,13,,sqrt,1,300
45,14,5.0,sqrt,1,300
46,0,5.0,sqrt,1,300
46,1,,sqrt,3,300
46,2,,0.3,1,300
46,3,,sqrt,3,300
46,4,5.0,sqrt,1,300
46,5,,0.3,1,300
46,6,5.0,sqrt,1,300
46,7,,sqrt,1,300
46,8,,sqrt,3,300
46,9,,sqrt,3,300
46,10,5.0,sqrt,3,300
46,11,,sqrt,1,300
46,12,5.0,sqrt,1,300
46,13,,sqrt,3,300
46,14,,0.3,1,300
47,0,,0.3,3,300
47,1,,sqrt,1,300
47,2,,sqrt,1,300
47,3,,sqrt,1,300
47,4,,sqrt,1,300
47,5,,sqrt,1,300
47,6,,sqrt,1,300
47,7,,sqrt,3,300
47,8,5.0,sqrt,1,300
47,9,,sqrt,1,300
47,10,5.0,sqrt,1,300
47,11,,sqrt,3,300
47,12,,sqrt,3,300
47,13,5.0,sqrt,1,300
47,14,,sqrt,1,300
48,0,,sqrt,3,300
48,1,,sqrt,1,300
48,2,5.0,sqrt,1,300
48,3,,sqrt,1,300
48,4,,sqrt,3,300
48,5,5.0,sqrt,1,300
48,6,,sqrt,1,300
48,7,,sqrt,3,300
48,8,,sqrt,3,300
48,9,5.0,sqrt,1,300
48,10,,sqrt,1,300
48,11,,sqrt,3,300
48,12,5.0,sqrt,1,300
48,13,,sqrt,3,300
48,14,5.0,sqrt,1,300
49,0,,0.3,1,300
49,1,5.0,sqrt,1,300
49,2,,sqrt,1,300
49,3,,sqrt,1,300
49,4,,sqrt,1,300
49,5,,sqrt,3,300
49,6,,sqrt,3,300
49,7,5.0,sqrt,1,300
49,8,5.0,sqrt,3,300
49,9,5.0,sqrt,1,300
49,10,,sqrt,3,300
49,11,,sqrt,1,300
49,12,,sqrt,1,300
49,13,,sqrt,3,300
49,14,5.0,0.3,1,300
50,0,,0.3,1,300
50,1,,sqrt,1,300
50,2,,sqrt,3,300
50,3,5.0,sqrt,3,300
50,4,,sqrt,1,300
50,5,5.0,sqrt,1,300
50,6,,sqrt,1,300
50,7,,sqrt,3,300
50,8,,sqrt,1,300
50,9,,sqrt,1,300
50,10,,sqrt,1,300
50,11,,sqrt,3,300
50,12,,sqrt,1,300
50,13,,sqrt,3,300
50,14,,sqrt,1,300
